ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
77437,77437,0.1542,16541,2183,"77414, 77432, 77442, 77455, 77458, 77460, 77467, 77488"
77440,77440,0,1140,150,"77414, 77419, 77456, 77465"
77441,77441,0.0395,18952,2502,"77406, 77423, 77464, 77476, 77494"
77442,77442,0,4125,545,"77412, 77434, 77437, 77455, 77460, 77470, 77475, 77488, 77964, 78934, 78935"
77443,77443,0,2150,284,"77436, 77488"
77444,77444,0.375,1120,148,"77420, 77430, 77461, 77480, 77486"
77445,77445,0.0919,15421,2036,"77418, 77423, 77426, 77446, 77484, 77868, 77880"
77446,77446,0,4852,640,"77445, 77484"
77447,77447,0.1145,26541,3503,"77355, 77377, 77433, 77484, 77493"
77448,77448,0,1140,150,"77435, 77488"
77449,77449,0.102,128541,16967,"77084, 77433, 77450, 77493"
77450,77450,0.0655,78541,10367,"77077, 77082, 77094, 77407, 77449, 77494"
77451,77451,0.16,3654,482,"77417, 77435"
77453,77453,0,2140,282,"77420, 77488"
77454,77454,0,1120,148,"77434, 77435"
77455,77455,0,4125,545,"77419, 77437, 77442, 77458, 77957, 77962, 77964"
77456,77456,0,1850,244,"77414, 77440, 77458, 77465"
77457,77457,0,2150,284,"77414, 77483"
77458,77458,0,1140,150,"77414, 77419, 77437, 77455, 77456"
77459,77459,0.06,71025,9375,"77469, 77477, 77478, 77479, 77481, 77489, 77545, 77583"
77460,77460,0,4125,545,"77437, 77442"
77461,77461,0.1394,8541,1127,"77417, 77420, 77430, 77444, 77469, 77471, 77481, 77488, 77583"
77464,77464,0,1850,244,"77406, 77441, 77471, 77476, 77485"
77465,77465,0.2569,5852,772,"77414, 77419, 77428, 77440, 77456, 77979"
77466,77466,0,2140,282,"77423, 77474"
77467,77467,0,2150,284,77437
77468,77468,0,4125,545,"77420, 77431, 77480, 77482"
77469,77469,0.1947,51025,6735,"77406, 77459, 77461, 77471, 77479, 77481"
77470,77470,0,1140,150,"77442, 77475, 78934"
77471,77471,0.1252,31025,4095,"77406, 77417, 77435, 77461, 77464, 77469, 77485"
77473,77473,0,4125,545,77474
77474,77474,0.0804,15421,2036,"77418, 77423, 77466, 77473, 77485, 78933"
77475,77475,0.1429,2140,282,"77442, 77470, 77964, 78934, 78962"
77476,77476,0,8542,1128,"77423, 77441, 77464, 77485"
77477,77477,0.1043,36541,4823,"77031, 77071, 77099, 77459, 77478, 77489"
77478,77478,0.0494,28952,3822,"77099, 77459, 77477, 77479, 77498"
77479,77479,0.0709,79852,10540,"77406, 77459, 77469, 77478, 77498"
77480,77480,0.1412,11425,1508,"77414, 77420, 77422, 77431, 77444, 77468, 77482, 77486"
77481,77481,0,1140,150,"77459, 77461, 77469, 77583"
77482,77482,0,9854,1301,"77414, 77420, 77431, 77468, 77480"
77483,77483,0,1850,244,"77414, 77457"
77484,77484,0.1888,18952,2502,"77355, 77363, 77423, 77445, 77446, 77447, 77493, 77868"
77485,77485,0.2561,11025,1455,"77423, 77435, 77464, 77471, 77474, 77476, 78933"
77486,77486,0.3532,8541,1127,"77422, 77430, 77444, 77480, 77515"
77488,77488,0.2328,4125,545,"77414, 77417, 77420, 77434, 77435, 77436, 77437, 77442, 77443, 77448, 77453, 77461"
77489,77489,0.1673,39852,5260,"77053, 77071, 77085, 77459, 77477, 77545"
77493,77493,0.1578,42541,5615,"77423, 77433, 77447, 77449, 77484, 77494"
77494,77494,0.0742,118542,15648,"77406, 77407, 77423, 77441, 77450, 77493"
77498,77498,0.0946,31025,4095,"77083, 77099, 77406, 77407, 77478, 77479"
77502,77502,0.1214,39852,5260,"77017, 77503, 77504, 77506, 77587"
77503,77503,0.1662,24152,3188,"77502, 77505, 77506, 77536"
77504,77504,0.1259,26541,3503,"77034, 77502, 77505, 77587"
77505,77505,0.1055,28952,3822,"77034, 77059, 77503, 77504, 77507, 77536, 77571"
77506,77506,0.174,36541,4823,"77015, 77017, 77502, 77503, 77536, 77571"
77507,77507,0,1120,148,"77058, 77059, 77505, 77571, 77586"
77510,77510,0.1159,14125,1865,"77511, 77517, 77539, 77563, 77568"
77511,77511,0.1535,54125,7145,"77510, 77517, 77539, 77546, 77573, 77577, 77578, 77581, 77583, 77584"
77514,77514,0.254,9852,1300,"77560, 77597, 77665"
77515,77515,0.2387,26541,3503,"77422, 77430, 77486, 77531, 77534, 77541, 77566, 77583"
77517,77517,0.1592,14125,1865,"77510, 77511, 77539"
77518,77518,0.0865,11025,1455,"77539, 77565, 77573"
77519,77519,0,2140,282,77564
77520,77520,0.1575,38952,5142,"77521, 77523, 77530, 77562, 77571"
77521,77521,0.1756,61425,8108,"77520, 77523, 77532, 77535, 77562"
77523,77523,0.2474,21542,2844,"77520, 77521, 77535, 77580"
77530,77530,0.1379,34125,4505,"77015, 77049, 77520, 77562, 77571"
77531,77531,0.153,18952,2502,"77515, 77541, 77566"
77532,77532,0.1771,28952,3822,"77044, 77049, 77336, 77346, 77521, 77535, 77562"
77533,77533,0.2955,4125,545,"77538, 77564, 77575, 77659"
77534,77534,0.1064,39852,5260,"77515, 77541, 77577, 77583"
77535,77535,0.2892,31025,4095,"77327, 77336, 77357, 77521, 77523, 77532, 77575, 77580"
77536,77536,0.0752,2140,282,"77503, 77505, 77506, 77571"
77538,77538,0.1176,48521,6405,"77533, 77560, 77575, 77582, 77629, 77659, 77665"
77539,77539,0.08,18952,2502,"77510, 77511, 77517, 77518, 77568, 77573, 77590, 77591"
77541,77541,0.2472,41025,5415,"77422, 77515, 77531, 77534, 77566"
77545,77545,0.1489,61425,8108,"77053, 77459, 77489, 77583, 77584"
77546,77546,0.0986,15421,2036,"77034, 77089, 77511, 77573, 77581, 77598"
77547,77547,0.2824,42158,5565,"77012, 77015, 77017, 77029"
77550,77550,0.1136,21542,2844,"77551, 77554, 77555"
77551,77551,0.1297,9852,1300,"77550, 77554"
77554,77554,0.0466,1140,150,"77550, 77551, 77563, 77568"
77555,77555,0,11425,1508,77550
77560,77560,0,4125,545,"77514, 77538, 77575, 77597, 77665"
77561,77561,0,11025,1455,77575
77562,77562,0.0542,9852,1300,"77049, 77520, 77521, 77530, 77532"
77563,77563,0.2299,2140,282,"77510, 77554, 77568"
77564,77564,0,15421,2036,"77327, 77519, 77533, 77575, 77659"
77565,77565,0.1724,28952,3822,"77518, 77573, 77586"
77566,77566,0.1091,24152,3188,"77422, 77515, 77531, 77541"
